Date,AAPL,IBM,MSFT,GOOG
1999-12-31,,,,
2000-01-03,0.08875378595316241,0.0753189563247445,-0.0016061749443911921,
2000-01-04,-0.084310707518365,-0.033944149345910835,-0.03378068982448501,
2000-01-05,0.01463416721600308,0.03513683947250912,0.01054468225561589,
2000-01-06,-0.08653848734521075,-0.01724166021246143,-0.03349842580519302,
2000-01-07,0.047368593918436286,-0.004385649830335625,0.013067986925227482,
2000-01-10,-0.01758822918849945,0.03964744282606625,0.0072915534584359065,
2000-01-11,-0.05115070317378423,0.008474715176532532,-0.02561283239672929,
2000-01-12,-0.059973136426947016,0.004201748962565199,-0.03257132619078196,
2000-01-13,0.10967743632101135,-0.010460559075374798,0.018901551611900658,
2000-01-14,0.0381136041015111,0.01162802869715085,0.041159497734304606,
2000-01-18,0.03484762841053857,-0.03239280129995825,0.027282554476228293,
2000-01-19,0.025255742640103884,0.032397505958348116,-0.0720867923207198,
2000-01-20,0.06510246476350057,-0.004184168138430366,-0.009345596050714833,
2000-01-21,-0.019273030975147654,0.0210082804388112,-0.021226406673434672,
2000-01-24,-0.045479926631586176,0.0,-0.0240961731145245,
2000-01-25,0.056470280051779564,-0.019547213082633408,0.015431777654147938,
2000-01-26,-0.01837399218749658,-0.01993738827867686,-0.033434537944980525,
2000-01-27,-0.0017020316447788897,-0.027836916929250832,-0.006289411306192982,
2000-01-28,-0.07613584295290532,-0.017070774348218132,-0.005063289522109993,
2000-01-31,0.020909856664454107,0.00616233173185754,-0.0038174346851755914,
2000-02-01,-0.033734829319606585,-0.020044041043929317,0.051724799076076966,
2000-02-02,-0.014339229612829518,0.03181809367539512,-0.02064328169831986,
2000-02-03,0.04554076154862541,0.03193804201551376,0.02789747438053558,
2000-02-04,0.04537194872132355,-0.012806759009576618,0.02834791952932436,
2000-02-07,0.056134385802684816,-0.012972899811112937,0.0005861154662267776,
2000-02-08,0.007123247013430367,0.04216940218121312,0.031067319032053176,
2000-02-09,-0.01958636269244085,-0.012099297367828776,-0.05400851217321867,
2000-02-10,0.0077690525584952486,0.014909709766240953,0.01923137964016708,
2000-02-11,-0.04185016319374024,-0.03147953022830652,-0.05719347271630171,
2000-02-14,0.06494235066999354,0.0059588458684627366,-0.003126637771408536,
2000-02-15,0.027523171898993892,0.00915419423200059,-0.010665303551921301,
2000-02-16,-0.04096656597642789,-0.011738970024740114,-0.009511728091399663,
2000-02-17,0.006571751365842982,0.008639043309865757,0.02048687214310685,
2000-02-18,-0.03155592708693744,-0.03640219315499604,-0.04579702534819363,
2000-02-22,0.023033567766141516,-0.01333395225430345,-0.01314890778368627,
2000-02-23,0.021417120978788118,-0.020269930883585863,0.004663330364003793,
2000-02-24,-0.009005857009927842,0.016091690300062522,0.005304925876714384,
2000-02-25,-0.04190936789083788,-0.02262439776912306,-0.036279893211998315,
2000-02-28,0.02604761585210502,-0.032407292402379384,0.0027377353394324455,
2000-02-29,0.012141135005858006,-0.016746350064399285,-0.023890784982935176,
2000-03-01,0.1368592270976159,-0.024330640637994727,0.01608438659742273,
2000-03-02,-0.06378902301633993,0.028678260434793268,0.028217004941718082,
2000-03-03,0.049180488612424966,0.04727230331836352,0.029451700831923056,
2000-03-06,-0.018066542846123745,-0.04571741209859026,-0.057217680702450924,
2000-03-07,-0.022376784089481405,-0.0006067510697683742,0.02482816623647799,
2000-03-08,-0.007121217025855109,0.03155316780967832,0.028936613361028485,
2000-03-09,0.0020494015177223712,0.016470951310674664,0.04643555837577695,
2000-03-10,0.0286294344550988,-0.025462931017121826,0.009999785534152483,
2000-03-13,-0.03528782510815631,0.02315889336289212,-0.02970306820294366,
2000-03-14,-0.058217416117433696,0.008706181769418064,-0.02933651699501838,
2000-03-15,0.017505610218778278,-0.014959863471057933,0.0026281200221964784,
2000-03-16,0.04569875806624091,0.01869153574753235,0.0,
2000-03-17,0.028277666583048422,0.009174539594158038,0.04193980802403163,
2000-03-20,-0.01600028710080026,0.02499986199400106,-0.02012620081302896,
2000-03-21,0.09705329326369783,0.006651902287186262,0.05519908100678994,
2000-03-22,0.06855038713760186,0.006607849597324078,0.004866179550770511,
2000-03-23,-0.019939486638228532,0.008753242084674984,0.08353489681086956,
2000-03-24,-0.018576121776218257,0.0466374636083382,-0.001675507954715938,
2000-03-27,0.006309433515255369,0.051813233436786676,-0.06827081928654177,
2000-03-28,-0.003134937080543465,-0.03448250356623883,0.0024020983531831686,
2000-03-29,-0.022911029485156775,-0.02857158822383743,0.0275617135947388,
2000-03-30,-0.07494291900493721,0.03151222301845635,-0.035568401084420165,
2000-03-31,0.08002042748200289,-0.0356411139925803,0.027811555638721952,
2000-04-03,-0.018408097542922497,0.03062281737754291,-0.14470667264169512,
2000-04-04,-0.04500688289889199,-0.006659854146180644,-0.025446354407921867,
2000-04-05,0.024054973400144508,0.03145960119522817,-0.02470023690451728,
2000-04-06,-0.03978902200900103,-0.018000312666435203,-0.004341593544541333,
2000-04-07,0.05242150454886896,0.003054908941407808,0.03561057865448336,
2000-04-10,-0.05123338940565958,-0.008121403827930362,-0.033684611741686465,
2000-04-11,-0.044500225294378026,-0.02251769980106788,-0.025416965210444897,
2000-04-12,-0.08529536593091402,-0.047120809612296255,-0.05365180054209007,
2000-04-13,0.04176173883939538,-0.02747241068151962,-0.0015749355973060375,
2000-04-14,-0.017023369052914017,-0.05084719543813776,-0.06466877829482909,
2000-04-17,0.10726234880873675,0.0654762436757772,0.023608914148229854,
2000-04-18,0.024217997060427265,-0.0033526540471161548,0.06177965784656991,
